id,name,district,total_docks,trips_per_dock,ebs_station,is_ut,lat,lon,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby_275m,housing_nearby_275m,housing_nearby_1000m,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,dist_to_west_campus_center_m,in_ut_shape,dist_to_ut_shape_m,ut_shape_area_within_275m,ut_shape_share_of_275m_buffer,ut_shape_touches_275m_buffer,ut_shape_area_within_500m,ut_shape_share_of_500m_buffer,ut_shape_touches_500m_buffer,in_west_campus_shape,dist_to_west_campus_shape_m,west_campus_shape_area_within_275m,west_campus_shape_share_of_275m_buffer,west_campus_shape_touches_275m_buffer,west_campus_shape_area_within_500m,west_campus_shape_share_of_500m_buffer,west_campus_shape_touches_500m_buffer,in_north_campus_shape,dist_to_north_campus_shape_m,north_campus_shape_area_within_275m,north_campus_shape_share_of_275m_buffer,north_campus_shape_touches_275m_buffer,north_campus_shape_area_within_500m,north_campus_shape_share_of_500m_buffer,north_campus_shape_touches_500m_buffer,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing_275m,ut_x_in_ut_shape,ut_x_in_west_campus_shape,ut_x_in_north_campus_shape,ut_x_ut_shape_share_275m,ut_x_west_campus_share_275m,ut_x_north_campus_share_275m
37,barton_springs_bouldin_palmer_auditorium,9,15,335.8,0,0,30.25966,-97.753445,5,32.73,41.07,3647.0,993.0,6891,3.6727089627391742,1.0,3,219.34,0,3405108.49,3.0,6,144.69,3,189.06,0,856.05,359.12,2.0,12.0,485.93,3041.65,2885.16,980.0,0.0,3247.17,0,2421.18,0.0,0.0,0,0.0,0.0,0,0,2660.8,0.0,0.0,0,0.0,0.0,0,0,3674.5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
36,barton_springs_pool,8,11,328.45454545454544,0,0,30.26452,-97.7712,0,321.83,371.05,34.0,0.0,2358,34.0,1.0,4,143.9,0,3405308.19,2.0,3,147.48,1,560.6,1,371.38,324.94,3.0,3.0,350.35,3890.48,3555.73,980.0,0.0,3501.62,0,3413.32,0.0,0.0,0,0.0,0.0,0,0,2808.87,0.0,0.0,0,0.0,0.0,0,0,4187.48,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
17,w_2nd_lavaca_city_hall,9,19,322.94736842105266,0,0,30.26476,-97.74678,5,111.62,116.66,9148.0,1252.0,9890,7.306709265175719,1.0,11,82.27,0,3405786.85,3.0,76,27.98,40,64.55,0,350.64,228.52,5.0,21.0,295.29,2237.48,2140.52,980.0,0.0,2632.08,0,1579.04,0.0,0.0,0,0.0,0.0,0,0,1930.72,0.0,0.0,0,0.0,0.0,0,0,2905.56,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
87,dean_keeton_robert_dedman_dr,1,11,316.0,0,1,30.28785,-97.728541,5,22.87,94.69,249.0,0.0,3787,249.0,1.0,4,214.89,0,3408636.89,3.0,7,131.74,3,221.78,0,639.12,461.73,1.0,3.0,609.98,960.03,233.88,190.0,190.0,1825.0,1,0.0,132464.25,0.5584,1,366122.63,0.4669,1,0,1159.33,0.0,0.0,0,0.0,0.0,0,0,19.48,77501.06,0.3267,1,215281.49,0.2745,1,190.0,960.03,5,0.0,1,0,0,0.5584,0.0,0.3267
35,w_9th_henderson,9,11,310.45454545454544,0,0,30.27217,-97.75246,5,103.82,124.93,6526.0,0.0,7206,6526.0,1.0,2,202.49,0,3406487.25,2.0,24,86.94,9,146.13,0,512.44,273.99,3.0,9.0,352.68,1924.97,1645.84,980.0,0.0,1871.73,0,1484.83,0.0,0.0,0,0.0,0.0,0,0,1275.76,0.0,0.0,0,0.0,0.0,0,0,2439.32,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
23,e_5th_neches_downtown_station,9,15,294.6,0,0,30.265843991099903,-97.73891781267967,5,87.37,134.56,3492.0,925.0,4682,3.775135135135135,1.0,7,64.29,0,3406050.86,3.0,81,42.16,67,87.07,3,60.18,345.66,5.0,18.0,395.88,1912.42,1790.59,130.0,0.0,2643.26,0,1153.42,0.0,0.0,0,0.0,0.0,0,0,1695.85,0.0,0.0,0,0.0,0.0,0,0,2630.84,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
68,s_1st_riverside_long_center,9,15,289.6666666666667,0,0,30.259384,-97.749726,7,9.0,38.58,1166.0,0.0,5236,1166.0,1.0,3,150.28,0,3405147.51,3.0,6,149.57,3,164.12,0,532.94,204.84,3.0,14.0,315.45,2897.3,2790.27,980.0,0.0,3234.1,0,2230.43,0.0,0.0,0,0.0,0.0,0,0,2585.36,0.0,0.0,0,0.0,0.0,0,0,3562.22,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
42,dean_keeton_park_place,9,15,288.8666666666667,0,1,30.28931,-97.733037,6,143.58,150.46,23359.0,0.0,4776,23359.0,2.0,5,142.18,0,3408711.97,3.0,1,284.42,0,298.06,1,575.87,377.16,3.0,8.0,417.5,662.17,245.13,190.0,190.0,1394.01,0,5.44,135283.84,0.5703,1,457208.18,0.5831,1,0,812.62,0.0,0.0,0,0.0,0.0,0,1,0.0,120455.05,0.5078,1,383821.87,0.4895,1,190.0,662.17,6,0.0,0,0,1,0.5703,0.0,0.5078
2,w_11th_congress_the_texas_capitol,9,11,283.09090909090907,0,0,30.2726,-97.74127,2,249.51,270.97,8836.0,0.0,4809,8836.0,1.0,5,233.37,0,3406741.79,3.0,11,84.32,3,132.78,1,347.99,272.92,6.0,16.0,303.17,1229.9,1138.73,130.0,0.0,1861.35,0,571.84,0.0,0.0,0,0.0,0.0,0,0,954.27,0.0,0.0,0,0.0,0.0,0,0,1922.46,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
75,veterans_atlanta_mopac_ped_bridge,9,19,280.7894736842105,0,0,30.274475,-97.769892,1,249.28,323.55,0.0,0.0,1141,0.0,1.0,12,65.86,0,3406415.14,3.0,0,421.6,0,443.95,0,821.65,482.45,2.0,3.0,645.16,3318.78,2917.58,980.0,0.0,2656.23,0,2809.55,0.0,0.0,0,0.0,0.0,0,0,1993.7,0.0,0.0,0,0.0,0.0,0,0,3368.76,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
56,hollow_creek_barton_hills,5,11,277.0,0,0,30.26139,-97.77234,0,646.73,688.75,26.0,0.0,2827,26.0,1.0,7,87.03,0,3404946.68,2.0,2,290.26,0,725.73,0,595.43,328.15,2.0,3.0,443.31,4173.16,3855.4,980.0,0.0,3839.0,0,3707.54,0.0,0.0,0,0.0,0.0,0,0,3146.21,0.0,0.0,0,0.0,0.0,0,0,4517.19,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0
