name,docks,bikeable_infrastructure,trips,lat,lon,trips_per_dock,nearest_dining_hall_m,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m,age,income,population,undergrad,grad,undergrad_percentage,grad_percentage,north_campus_area_within_275m,north_campus_area_within_550m,west_campus_area_within_275m,west_campus_area_within_550m,west_campus_area_within_825m,distance_to_ut_m,distance_to_west_campus_m,jobs_count_within_275m,jobs_count_within_550m,nearest_retail_m,count_retail_275m,count_retail_550m,avg_dist_3_retail_m
riverside_south_lamar,19,3.0,11065,30.264351,-97.756216,582.3684210526316,2787.710050586673,82.75371455757899,8.719947695397217,12,94.47036630259784,95505.01714953102,378764.6600160129,35.3,148333.0,1469.0,0.0,51.0,0.0,0.034717494894486,0.0,0.0,0.0,0.0,0.0,2265.851016887136,2178.439526136734,2,15,66.36102122687196,8,41,86.98384683271715
rosewood_angelina,11,2.0,1153,30.269014,-97.724294,104.8181818181818,1966.159009798317,31.48668689125061,8.23650874854116,14,84.6792139948255,44067.48033963734,63176.63392816914,36.7,111504.0,1213.0,11.0,28.0,0.009068425391591,0.0230832646331409,0.0,0.0,0.0,0.0,0.0,964.6730207173752,2011.0465620377663,6,26,31.586582622982725,10,25,35.7788172825705
s_1st_riverside_at_long_center,15,3.0,4345,30.259384,-97.749726,289.6666666666667,2904.1020802026874,139.40667540669654,4.240899002848918,3,150.1149266971815,77934.09533232806,224934.81957022616,35.8,124453.0,1245.0,7.0,26.0,0.0056224899598393,0.0208835341365461,0.0,0.0,0.0,0.0,0.0,2230.429983848853,2585.356954219777,3,10,136.85093537145568,6,23,149.47661715813706
south_congress_at_bouldin_creek,15,3.0,3312,30.255021,-97.747579,220.8,3278.5323260257574,173.1815093240519,376.0014408305018,2,232.31400549026827,0.0,17981.703767680545,33.3,166071.0,977.0,14.0,41.0,0.014329580348004,0.0419651995905834,0.0,0.0,0.0,0.0,0.0,2560.034436311362,2986.6639866624146,2,14,77.63062570010251,15,33,98.10948114731521
south_congress_academy,11,3.0,2087,30.252232,-97.748805,189.72727272727272,3609.990590805834,49.87377354009395,194.34966592731035,6,78.08034894085084,3434.7712589136777,8099.720278645673,36.3,124453.0,1931.0,7.0,22.0,0.0036250647332988,0.0113930605903676,0.0,0.0,0.0,0.0,0.0,2890.6292347244853,3315.6043776264028,6,21,40.131882343695274,16,36,105.6081700901307
south_congress_barton_springs,11,3.0,4002,30.258694,-97.74622,363.8181818181818,2849.793847080085,200.67325260765665,340.5980754965019,2,228.7543996582237,0.0,136152.25393230337,34.5,123889.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.8228206240865,2559.979942098053,3,7,49.946654743128406,15,30,56.04811718467271
south_congress_elizabeth,11,3.0,1965,30.248923,-97.750206,178.63636363636363,4001.650760180748,269.26237095972374,349.6401287931837,1,313.0379545686636,0.0,6150.405194495338,36.3,152467.0,1931.0,7.0,22.0,0.0036250647332988,0.0113930605903676,0.0,0.0,0.0,0.0,0.0,3280.9397918187788,3704.929326071941,14,36,26.685750349756393,28,57,41.51621427188755
south_congress_james,7,3.0,1556,30.251048,-97.749253,222.28571428571428,3748.494490436749,95.10479905407898,234.2416881039672,5,101.10415525889616,4886.057764408555,9944.157557424593,36.3,152467.0,1931.0,7.0,22.0,0.0036250647332988,0.0113930605903676,0.0,0.0,0.0,0.0,0.0,3028.282872603494,3453.528191380311,8,28,15.07853221963494,20,42,25.54925782573898
south_congress_mary,11,3.0,2989,30.244929,-97.751334,271.72727272727275,4457.211135075907,86.95081609992621,390.8513071099151,9,112.82631492744598,0.0,276.98635599764185,38.0,152467.0,1256.0,46.0,15.0,0.036624203821656,0.0119426751592356,0.0,0.0,0.0,0.0,0.0,3731.8835704763433,4160.505471712355,10,43,45.835156280769475,20,49,51.67792843500139
veterans_atlanta_at_mopac_ped_bridge,19,3.0,5335,30.274475,-97.769892,280.7894736842105,3314.3392612786715,53.38655077152716,0.8110722084353978,12,65.77916181767304,68181.76249090303,307071.9965664722,32.1,183017.0,677.0,0.0,48.0,0.0,0.0709010339734121,0.0,0.0,0.0,0.0,0.0,2809.5460078720253,1993.7046167318413,0,11,405.8587790846918,0,19,421.6456489625164
w_11th_congress_at_the_texas_capitol,11,3.0,3114,30.272551,-97.741225,283.09090909090907,1236.801935772662,225.21404245419524,48.73643295676541,5,232.20856697504183,1262.3164002773492,30199.920688027458,37.1,130194.0,717.0,12.0,12.0,0.0167364016736401,0.0167364016736401,0.0,0.0,0.0,0.0,0.0,572.635671008886,959.0436639040704,10,49,64.05133714292779,11,61,81.59600792356949
w_16th_san_antonio,11,2.0,4185,30.27941719277451,-97.74371821617328,380.45454545454544,773.2763780626806,141.02803466544012,469.89276843512783,5,184.92389445223347,0.0,7903.035271272207,44.4,98706.0,1175.0,115.0,144.0,0.0978723404255319,0.1225531914893617,0.0,0.0,0.0,148137.46674529233,362169.5686766643,333.04429748278767,293.5557514270976,17,53,101.84872388289358,10,37,132.2826073232985
w_21st_guadalupe,11,3.0,21626,30.283985,-97.74198,1966.0,506.4576965769904,51.54577247951919,871.1585221748392,19,59.137809305661136,0.0,0.0,19.9,22132.0,1966.0,1439.0,90.0,0.731943031536114,0.0457782299084435,0.0,0.0,164859.45311285474,399439.2108091908,722435.1535242667,13.883666644336074,0.0,12,46,46.45932405344606,28,70,54.171590034804204
w_21st_university,19,3.0,25314,30.283535,-97.73953,1332.3157894736842,265.9471449576826,65.18331054753669,899.3447486905479,10,93.20646568114005,0.0,0.0,19.4,10625.0,8288.0,8191.0,89.0,0.988296332046332,0.0107384169884169,0.0,0.0,63491.16568221248,226327.6708937724,488070.4891507462,0.0,1.7856313079680854,6,35,167.87035580759414,11,61,177.58899006469122
w_225_rio_grande,5,3.0,12942,30.28617,-97.745201,2588.4,709.9173172140984,83.24865192031746,645.6517436127667,21,102.02919907288596,0.0,0.0,21.3,8761.0,1186.0,911.0,72.0,0.7681281618887015,0.0607082630691399,0.0,0.0,237201.4795975765,742822.517669139,1164189.6948024037,341.8441008163022,0.0,12,45,23.081112487275508,10,66,46.38517706809634
w_22nd_pearl,23,3.0,24429,30.285384,-97.746661,1062.1304347826087,872.6912806060274,148.80631841848577,541.370620248068,18,168.0609004814375,0.0,575.6043155249369,21.3,8761.0,1186.0,911.0,72.0,0.7681281618887015,0.0607082630691399,0.0,0.0,234884.49653940657,727676.9649572074,1099636.0861044626,474.9699162216838,0.0,10,44,142.82423589066056,8,54,172.9169739194104
