name,total_docks,trips_per_dock,ebs_station,transit_nearby,nearest_transit_stop_dist_m,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,entertainment_nearby,tourism_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,is_ut,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,lat,lon
e_2nd_congress,15,426.6666666666667,0,-0.9823240273328191,0.052473719076046046,0.8841669642140267,-0.5530842280661995,1.0,0.6689544797502195,-0.2493018279302979,-0.9159815388003737,3.0,1.713118666191222,1.69985358246385,1.8595342733280469,-1.009913911180662,0.4465306524766477,1.2082373104543593,-0.8739734381438248,0,-0.007974300494116439,0.07519375591293367,-1.3450301993417235,-0.3092243265979277,30.26408,-97.74355
electric_drive_pfluger_ped_bridge,19,409.3157894736842,0,-0.09267207805026602,0.18992053786674748,-0.49821784852654755,3.7714669702161356,1.0,-0.10374160381153133,0.013271514459078421,-1.0043214678732353,3.0,-0.3116891690881431,-0.5422779906154418,-0.643016524421848,-0.11216702517252676,0.4465306524766477,0.12623374885344063,-0.5456837396566157,0,0.21836139483401418,0.18905865753281878,0.8568702981896665,-0.3092243265979277,30.267064,-97.75482
w_16th_san_antonio,11,380.45454545454544,0,0.35215389659101054,-0.14836515003895348,0.12550533282496767,-0.5530842280661995,1.0,-0.10374160381153133,-0.39593628305513434,0.404767528444587,2.0,-0.5929124795436105,-0.4649631087851214,-0.643016524421848,1.751519089764762,-1.2758018642189937,-0.09016696346674309,0.9643837699487915,0,-1.1766336894752738,-1.237013605001349,0.8568702981896665,-0.3092243265979277,30.27924,-97.74371
lake_austin_blvd_deep_eddy,11,368.8181818181818,0,0.35215389659101054,0.23184108727475108,-0.4391282839774566,-0.5530842280661995,1.0,-1.1340030485605324,-0.39593628305513434,-0.48292792904745163,3.0,-0.536667817452517,-0.4649631087851214,-0.643016524421848,1.2703826744213553,-1.2758018642189937,-1.3885712373878456,2.2908481208408364,0,1.0232969470236493,0.8811090932090521,0.8568702981896665,-0.3092243265979277,30.27807,-97.77272
south_congress_barton_springs,11,363.8181818181818,0,-1.4271500019740957,1.062656714566473,0.028750490288444546,0.24540926324736362,1.0,-1.3915684097477827,-0.39593628305513434,-0.36722678790004715,3.0,-0.2554445069970496,-0.4649631087851214,1.8595342733280469,-0.024708260373638026,0.4465306524766477,0.3426344611736244,-0.3053766013860839,0,0.5455877299038636,0.6348170921583847,-1.3450301993417235,-0.3092243265979277,30.25839,-97.74592
w_4th_congress,15,360.3333333333333,0,-0.5374980526915426,0.7210115401228481,2.37177266821307,0.7286097638319731,1.0,0.6689544797502195,-0.39593628305513434,-0.31553853152762806,3.0,3.5691925151973067,3.632725628221861,3.1108096722029943,-0.5897389463530073,2.168863169172289,1.6410387350947269,-0.7874568502803504,0,-0.1986868986022817,-0.1121803213317708,-1.3450301993417235,-0.3092243265979277,30.26634,-97.74378
e_6th_pedernales,11,345.1818181818182,0,-0.9823240273328191,0.912940466680746,-0.4035363240443785,-0.5530842280661995,2.0,-1.1340030485605324,-0.39593628305513434,-0.42680925070025383,2.0,-0.536667817452517,-0.4649631087851214,-0.643016524421848,0.9035012074050084,-1.2758018642189937,-1.1721705250676617,0.7803918097167577,0,0.9900766849384569,0.9121442262607734,0.6496326043043592,-0.3092243265979277,30.25895,-97.71475
cesar_chavez_congress,11,335.90909090909093,0,-0.09267207805026602,0.026328149933075317,0.49490149950905066,-0.5530842280661995,1.0,0.4113891185629692,-0.24294567498952943,-1.2227278457086934,3.0,0.9819380590070069,0.5401303550090439,-0.643016524421848,-1.009913911180662,0.4465306524766477,1.2082373104543593,-0.849615364013033,0,0.09651348297007313,0.18564780880547782,-1.3450301993417235,-0.3092243265979277,30.26332,-97.74508
barton_springs_bouldin_palmer_auditorium,15,335.8,0,0.35215389659101054,-0.7261238022457758,0.02149387709820531,1.2994952973412028,1.0,-0.8764376873732822,2.1003708070900196,-1.3759130418669534,3.0,-0.649157141634704,-0.5422779906154418,-0.643016524421848,0.36328231663356286,-0.7016910253204465,-0.09016696346674309,0.2610155231634171,0,0.6893241902292446,0.7350170566664174,0.8568702981896665,-0.3092243265979277,30.25966,-97.753445
barton_springs_pool,11,328.45454545454544,0,-1.4271500019740957,1.7198014943107511,-0.6027476337668984,-0.5530842280661995,1.0,-0.8764376873732822,4.814580994044306,-1.3889626484108473,2.0,-0.761646465816891,-0.6969077542760826,0.6082588744530996,0.1180618582145199,0.4465306524766477,-1.1721705250676617,-0.381094918456461,0,1.383025537230135,1.2873806706732542,0.8568702981896665,-0.3092243265979277,30.26452,-97.7712
w_2nd_lavaca_city_hall,19,322.94736842105266,0,0.7969798712322871,-0.05751294888293189,0.7868937921639151,0.5010018060276397,1.0,1.1840852021247201,-0.39593628305513434,-0.614175823669989,3.0,2.7255225838309047,1.62253870063353,-0.643016524421848,-0.5799494889276224,1.0206414913751949,1.8574394474149105,-0.6454363499597221,0,0.02629809058500033,0.11463034793515788,0.8568702981896665,-0.3092243265979277,30.26476,-97.74678
dean_keeton_robert_dedman_dr,11,316.0,0,0.7969798712322871,-0.8105491595901174,-0.5656006852930547,-0.5530842280661995,1.0,-0.6188723261860319,-0.39593628305513434,1.3045459549587497,3.0,-0.649157141634704,-0.6195928724457622,-0.643016524421848,1.1104935499612354,-1.2758018642189937,-1.1721705250676617,0.8471383832968619,1,-1.0308142981011104,-1.4777261756075029,-1.1896019289277429,-0.08931432514961982,30.28785,-97.728541
w_9th_henderson,11,310.45454545454544,0,0.35215389659101054,-0.1266015198584917,0.4047121641446487,-0.5530842280661995,1.0,-0.8764376873732822,-0.13878892488348718,-1.1193244819215837,2.0,0.19451278973169822,-0.3103333451244806,-0.643016524421848,-0.24900277494332224,-0.12758018642189942,-0.30656767578692684,-0.36792005873181427,0,-0.23518440032395477,-0.3007751233841551,0.8568702981896665,-0.3092243265979277,30.27217,-97.75246
