id,name,district,total_docks,trips_per_dock,ebs_station,is_ut,lat,lon,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby_275m,housing_nearby_275m,housing_nearby_1000m,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,min_dist_to_ut_hotspot_m,avg_dist_3_nearest_ut_hotspot_m,ut_hotspot_within_300m,ut_hotspot_within_500m,min_dist_to_wampus_hotspot_m,avg_dist_3_nearest_wampus_hotspot_m,wampus_hotspot_within_300m,wampus_hotspot_within_500m,dist_to_west_campus_center_m,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing_275m,ut_x_ut_hotspots_300m,ut_x_wampus_hotspots_300m
24,w_5th_bowie,9,15,436.73333333333335,0,0,30.2696,-97.75332,4,77.91,159.37,7211.0,2318.0,7529,3.1108714408973253,1.0,6,93.41,0,3406191.81,3.0,23,47.45,8,47.45,0,690.74,281.37,4.0,8.0,320.41,2521.73,2229.58,980.0,0.0,2391.75,2495.56,0,0,2117.97,2261.35,0,0,2520.97,0.0,0.0,0,0.0,0,0
16,e_2nd_congress,9,15,426.6666666666667,0,0,30.26408,-97.74355,1,144.66,249.66,8640.0,0.0,6315,8640.0,1.0,8,93.31,0,3405772.91,3.0,47,58.36,32,65.23,2,239.96,196.48,3.0,14.0,286.32,2551.59,2433.77,130.0,0.0,2445.6,2487.26,0,0,2565.52,2728.78,0,0,3178.33,0.0,0.0,0,0.0,0,0
54,electric_drive_pfluger_ped_bridge,9,19,409.3157894736842,0,0,30.267064,-97.75482,3,163.48,179.99,639.0,2318.0,5813,0.2756686798964625,1.0,5,134.4,0,3405888.19,3.0,11,113.83,3,161.9,0,919.91,339.68,3.0,9.0,366.45,2869.97,2592.34,980.0,0.0,2743.82,2846.87,0,0,2484.85,2627.24,0,0,2880.81,0.0,0.0,0,0.0,0,0
29,w_16th_san_antonio,9,11,380.45454545454544,0,0,30.27924,-97.74371,4,117.16,170.52,4249.0,0.0,3188,4249.0,1.0,5,225.01,0,3407418.53,2.0,6,137.99,4,170.56,0,659.44,636.97,0.0,8.0,734.99,907.67,606.37,980.0,0.0,764.44,871.22,0,0,612.34,775.02,0,0,1266.08,0.0,0.0,0,0.0,0,0
57,lake_austin_blvd_deep_eddy,10,11,368.8181818181818,0,0,30.27807,-97.77272,4,169.22,190.69,981.0,0.0,512,981.0,1.0,1,332.65,0,3406753.89,3.0,7,43.62,4,43.75,0,1120.7,560.22,0.0,2.0,1058.72,4002.25,3556.1,980.0,0.0,3693.16,3777.81,0,0,3039.96,3119.14,0,0,3112.83,0.0,0.0,0,0.0,0,0
71,south_congress_barton_springs,9,11,363.8181818181818,0,0,30.25839,-97.74592,0,282.98,308.42,3689.0,428.0,4549,8.619158878504672,1.0,0,313.75,0,3405110.11,3.0,12,80.27,4,194.03,2,411.6,353.63,3.0,10.0,425.09,3330.27,3213.11,130.0,0.0,3222.0,3264.38,0,0,3304.24,3468.65,0,0,3885.08,0.0,0.0,0,0.0,0,0
21,w_4th_congress,9,15,360.3333333333333,0,0,30.26634,-97.74378,2,236.2,256.65,17250.0,687.0,4559,25.109170305676855,1.0,8,132.25,0,3406014.4,3.0,80,42.23,57,65.5,3,120.81,263.5,6.0,16.0,307.44,2283.32,2172.83,130.0,0.0,2198.78,2224.19,0,0,2273.77,2437.2,0,0,2886.34,0.0,0.0,0,0.0,0,0
52,e_6th_pedernales,3,11,345.1818181818182,0,0,30.25895,-97.71475,1,262.48,288.65,1187.0,0.0,3954,1187.0,2.0,1,300.72,0,3405751.87,2.0,7,55.25,4,55.25,0,561.49,501.7,0.0,3.0,690.09,3955.52,3599.32,900.0,0.0,3387.65,3589.41,0,0,4592.25,4697.43,0,0,5272.49,0.0,0.0,0,0.0,0,0
41,cesar_chavez_congress,9,11,335.90909090909093,0,0,30.26332,-97.74508,3,141.08,164.74,6387.0,0.0,6006,6387.0,1.0,7,110.66,0,3405661.83,3.0,34,123.04,17,147.18,0,345.17,196.48,3.0,14.0,292.27,2698.57,2587.59,130.0,0.0,2609.75,2637.73,0,0,2664.9,2829.13,0,0,3256.88,0.0,0.0,0,0.0,0,0
37,barton_springs_bouldin_palmer_auditorium,9,15,335.8,0,0,30.25966,-97.753445,4,38.05,47.59,3647.0,993.0,3135,3.6727089627391742,1.0,2,254.07,0,3405108.49,3.0,5,167.42,3,218.8,0,991.1,415.52,1.0,8.0,563.33,3532.46,3352.65,980.0,0.0,3430.13,3487.11,0,0,3302.18,3463.4,0,0,3775.87,0.0,0.0,0,0.0,0,0
36,barton_springs_pool,8,11,328.45454545454544,0,0,30.26452,-97.7712,0,372.96,430.41,34.0,0.0,2358,34.0,1.0,2,166.75,0,3405308.19,2.0,3,171.02,1,648.71,1,430.5,376.41,3.0,3.0,406.62,4508.27,4121.88,980.0,0.0,4362.68,4412.29,0,0,3922.28,3996.15,0,0,4063.88,0.0,0.0,0,0.0,0,0
17,w_2nd_lavaca_city_hall,9,19,322.94736842105266,0,0,30.26476,-97.74678,5,129.6,135.52,8077.0,565.0,6568,14.295575221238938,1.0,10,95.45,0,3405786.85,3.0,65,32.4,31,74.96,0,406.05,265.06,4.0,17.0,342.1,2599.8,2488.69,980.0,0.0,2512.42,2547.26,0,0,2494.88,2659.46,0,0,3061.17,0.0,0.0,0,0.0,0,0
87,dean_keeton_robert_dedman_dr,1,11,316.0,0,1,30.28785,-97.728541,5,26.49,109.77,249.0,0.0,2658,249.0,1.0,3,249.44,0,3408636.89,3.0,5,153.17,2,257.23,0,741.55,534.71,0.0,3.0,706.38,1112.79,271.15,190.0,190.0,733.67,793.56,0,0,1622.38,1692.5,0,0,2112.17,190.0,1112.79,5,0.0,0,0
35,w_9th_henderson,9,11,310.45454545454544,0,0,30.27217,-97.75246,4,120.14,144.82,5865.0,0.0,5954,5865.0,1.0,2,235.16,0,3406487.25,2.0,20,100.73,6,169.34,0,593.05,317.85,2.0,7.0,409.83,2231.98,1910.19,980.0,0.0,2095.41,2192.53,0,0,1783.41,1922.78,0,0,2176.25,0.0,0.0,0,0.0,0,0
23,e_5th_neches_downtown_station,9,15,294.6,0,0,30.265843991099903,-97.73891781267967,3,101.12,155.93,2886.0,925.0,3822,3.12,1.0,5,74.6,0,3406050.86,3.0,64,48.97,51,101.06,3,69.95,401.97,2.0,16.0,459.49,2224.02,2082.18,130.0,0.0,2051.47,2130.48,0,0,2407.82,2563.35,0,0,3072.7,0.0,0.0,0,0.0,0,0
68,s_1st_riverside_long_center,9,15,289.6666666666667,0,0,30.259384,-97.749726,7,10.46,44.65,1078.0,0.0,1986,1078.0,1.0,3,173.99,0,3405147.51,3.0,6,173.25,3,190.28,0,617.55,238.04,3.0,9.0,365.4,3366.36,3243.66,980.0,0.0,3278.17,3311.46,0,0,3231.04,3395.07,0,0,3761.16,0.0,0.0,0,0.0,0,0
42,dean_keeton_park_place,9,15,288.8666666666667,0,1,30.28931,-97.733037,6,166.31,174.2,23359.0,0.0,1829,23359.0,2.0,5,164.94,0,3408711.97,3.0,0,330.29,0,346.0,0,668.51,436.52,2.0,5.0,484.09,766.52,283.71,190.0,190.0,304.19,352.89,0,3,1112.57,1210.74,0,0,1613.4,190.0,766.52,6,0.0,0,0
2,w_11th_congress_the_texas_capitol,9,11,283.09090909090907,0,0,30.2726,-97.74127,0,288.76,314.43,3006.0,0.0,2384,3006.0,1.0,2,270.96,0,3406741.79,3.0,8,97.95,3,154.33,1,403.38,315.93,4.0,13.0,351.5,1429.56,1323.07,130.0,0.0,1357.2,1378.37,0,0,1500.31,1657.74,0,0,2163.77,0.0,0.0,0,0.0,0,0
75,veterans_atlanta_mopac_ped_bridge,9,19,280.7894736842105,0,0,30.274475,-97.769892,0,289.25,375.86,0.0,0.0,629,0.0,1.0,12,76.25,0,3406415.14,3.0,0,488.78,0,515.58,0,954.75,560.22,0.0,2.0,749.02,3842.19,3378.34,980.0,0.0,3572.9,3639.55,0,0,3055.92,3090.91,0,0,3079.29,0.0,0.0,0,0.0,0,0
56,hollow_creek_barton_hills,5,11,277.0,0,0,30.26139,-97.77234,0,750.79,799.97,26.0,0.0,2827,26.0,1.0,7,101.0,0,3404946.68,2.0,0,336.74,0,840.63,0,690.69,379.74,2.0,3.0,514.35,4837.03,4470.41,980.0,0.0,4695.11,4763.81,0,0,4283.93,4367.08,0,0,4456.17,0.0,0.0,0,0.0,0,0
74,south_congress_mary,9,11,271.72727272727275,0,0,30.244961,-97.751272,2,10.51,233.5,953.0,0.0,2775,953.0,1.0,7,132.96,0,3403550.32,3.0,18,64.22,6,137.51,0,1373.4,522.94,0.0,3.0,774.99,5160.23,5043.15,130.0,0.0,5047.57,5092.18,0,0,5091.48,5255.88,0,0,5627.36,0.0,0.0,0,0.0,0,0
