id,name,district,total_docks,ebs_station,trips,trips_per_dock,checkouts_rank_per_day,total_score,transit_access_score,jobs_access_score,households_access_score,low_income_access_score,public_amenities_access_score,bike_infra_score,retail_entertainment_access_score,existing_bikeshare_access_score,is_ut
32,E 8th/Lavaca,9,7,0,1509,215.57142857142858,1.0,18.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,0
70,South Congress/Academy,9,11,0,2087,189.72727272727272,1.0,19.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,0
33,E 8th/Red River,9,11,0,2056,186.9090909090909,1.0,19.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,0
72,South Congress/Elizabeth,9,11,0,1965,178.63636363636363,1.0,19.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,0
53,E 6th/Chicon,3,11,0,1888,171.63636363636363,1.0,18.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,0
47,E 2nd/Pedernales,3,11,0,1783,162.0909090909091,1.0,19.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,0
6,E 13th/Trinity @ Waterloo Greenway,9,11,0,1695,154.0909090909091,1.0,21.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0
30,W 6th/West,9,15,0,2286,152.4,1.0,19.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,0
1,E 10th/Red River,9,15,0,2239,149.26666666666668,1.0,19.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,0
48,E 4th/Chicon,3,19,0,2693,141.73684210526315,1.0,18.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,0
3,E 11th/Salina,1,11,0,1332,121.0909090909091,1.0,17.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,0
61,One Texas Center,9,15,0,1703,113.53333333333333,1.0,17.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,0
67,Rosewood/Angelina,1,11,0,1153,104.81818181818181,1.0,18.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
4,E 11th/San Jacinto,9,11,0,1106,100.54545454545455,1.0,21.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,0
5,E 12th/San Jacinto @ State Cap Visitors Garage,9,11,0,1093,99.36363636363636,1.0,18.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,0
34,E 8th/Trinity,9,15,0,1435,95.66666666666667,1.0,19.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,0
46,E 11th/Waller,1,11,0,931,84.63636363636364,1.0,20.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,0
