docks,trips_per_dock,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m,median_age,median_income,population_density,undergrad_percentage,grad_percentage,west_campus_area_within_550m,distance_to_west_campus_m,distance_to_ut_m,jobs_count_within_275m,jobs_count_within_550m,nearest_retail_m,avg_dist_3_retail_m,nearest_bikeshare_station_m,avg_dist_3_stations,bikeshare_station_count_within_275m,bikeshare_station_count_within_550m,nearest_transit_stop_distance_m,count_transit_stop_275m,count_transit_stop_550m
15,426.6666666666667,19.53325559153915,155.63440261627483,11,79.6944541027963,15770.113568336748,72361.6862916309,50.0,161995.0,0.0028926664039128,0.0163424124513618,0.0,0.0,1920.0275176645675,1483.0163609790795,12,40,49.786665493372105,51.405707477347086,171.5372802469489,246.0242125097753,2,4,126.2655274838492,3,17
11,162.0909090909091,130.26851638739657,337.072463651946,3,192.17560104453136,0.0,51182.75462541037,35.9,82009.0,0.0034691408777096,0.0329489291598023,0.029654036243822,0.0,3618.38451420388,2594.4479668713093,7,33,77.51120081930893,125.74790318987856,435.2863086302766,619.8977081255131,0,1,111.60153048516928,2,8
19,141.73684210526315,46.123065757110574,8.67502348568039,10,50.216367561993,19096.83232117321,25252.68189236524,35.9,82009.0,0.0034691408777096,0.0329489291598023,0.029654036243822,0.0,2863.300704958456,1865.723819692503,8,35,76.85511634134951,164.54924775175814,247.95971107955015,359.1741093114828,1,3,36.6605325953623,4,21
15,239.53333333333333,144.06988343403395,459.2506189833703,3,160.488402108433,0.0,1881.8442156618785,35.0,68913.0,0.0017436493760844,0.0,0.0306296086216676,0.0,3970.068510623222,2924.5500882285114,7,25,46.95769765679017,110.94315261107492,540.7011901233444,796.3776300475007,0,1,128.52454016876675,2,14
11,219.1818181818182,117.57982719376903,343.2484806586985,6,158.99036404771925,0.0,23561.62401951549,35.5,80250.0,0.00237189699513,0.0151041666666666,0.0140625,0.0,2534.296672244426,1525.5144032603475,6,33,13.207312343986118,23.72996616764345,307.27284714701415,325.9459215090995,0,4,186.53913747762425,6,16
11,171.63636363636363,50.97904567093549,233.2739080845465,3,155.8564677042569,5372.320549489454,24271.12714097663,35.0,68913.0,0.0017436493760844,0.0,0.0306296086216676,0.0,2833.4735376887274,1807.9247612713043,6,33,26.598400197253014,42.99191673814445,247.95971107955015,382.2922887653367,1,2,140.29441394418097,4,16
11,572.1818181818181,52.60900320683158,413.3991927517028,10,85.13590093883364,0.0,10889.479196082702,35.5,80250.0,0.00237189699513,0.0151041666666666,0.0140625,0.0,1996.2903295673616,1134.8022232117935,18,51,8.889191496066495,30.07039594168345,491.0264167793447,547.5995340850617,0,1,155.07619585231555,3,7
11,345.1818181818182,158.71729396756754,355.29305190094726,1,260.3660011447163,0.0,45775.269515313965,35.0,68913.0,0.0017436493760844,0.0,0.0306296086216676,0.0,3439.338059591222,2395.9152014121914,7,34,29.35335152694748,53.09217886176473,435.2863086302766,550.8077941800699,0,2,222.96895075069452,3,14
7,215.57142857142856,76.97399048146696,175.41017016250996,3,173.6880787798452,6629.209945258271,15347.134506828965,37.1,130194.0,0.0011550061296521,0.0167364016736401,0.0167364016736401,0.0,1259.0896407540054,964.7711914969972,19,62,133.84810963646953,157.40355465714123,183.7985118635596,241.1001270188796,2,5,20.514520564218486,11,26
11,186.9090909090909,72.01417008808527,90.55880721344296,7,109.85756407299873,5101.335443123479,35106.00143631192,45.2,114115.0,0.0017308133350435,0.0662251655629139,0.0,0.0,1430.7317782106345,798.086151038304,14,52,16.00804500286719,20.852404394612588,208.3742043140058,390.3587167954829,1,2,137.20777328521964,3,18
19,409.3157894736842,47.800709692657854,1.322700979078397,8,115.94707755409247,42624.81219553599,280364.91357571475,38.0,159952.0,0.0107714019524436,0.0,0.0102367242482405,0.0,1859.8909831199207,1988.762145880444,5,23,37.326614358564896,98.19925429424356,269.8509908469376,301.0349385715119,1,4,141.03777044334734,4,13
15,1244.9333333333334,107.06772031188588,849.8285094476183,14,127.72259417283102,0.0,0.0,20.4,20509.0,0.0333054402117536,0.9332443257676902,0.0130173564753004,488634.8263176639,0.0,10.539229273078949,9,40,24.829217852477104,27.433032148202567,186.96507859063288,280.19838507951084,1,6,19.31077702376955,6,12
11,277.0,59.86391848229805,50.61195895062356,7,96.16254343604864,82733.12955177741,405916.4422566361,36.9,92763.0,0.0020408141711086,0.0063829787234042,0.0101063829787234,0.0,3141.9081328467737,3711.555076340072,2,10,236.3883211085775,274.05300178153675,340.9711828133451,690.5695576301159,0,1,642.4741046708592,0,0
11,368.8181818181818,183.00359956570813,53.38413471866708,2,286.6316473613305,35318.49343678477,131423.93783202168,29.2,37961.0,0.0011611538444892,0.2798541476754785,0.398359161349134,0.0,2051.3131253964657,2983.253624838987,7,17,36.65890248246643,40.379747838874806,484.5036894989606,916.2928615641462,0,1,145.3907263379192,5,5
11,474.3636363636364,223.99453502112505,14.156626771414114,2,264.1320632441433,27421.826226097022,192658.4452441778,29.9,83694.0,0.0012535131126124,0.0269662921348314,0.0,0.0,4352.917076290964,3443.559896416798,2,9,69.36207871045514,359.4551508145395,550.7446943546987,1087.8930728726757,0,0,422.342215768894,0,2
15,448.4,188.3747857285196,8.836873829532836,6,202.362910922222,97974.57595677437,258087.5497797048,29.9,83694.0,0.0012535131126124,0.0269662921348314,0.0,0.0,4767.935494956431,3813.597124584856,0,3,361.9878371806543,408.5380064606562,550.7446943546987,1214.4978838761,0,0,53.64126743714623,2,10
