id,active_date,name,district,total_checkouts,total_docks,trips_per_dock,trips_per_dock_day,ebs_station,checkouts_rank_per_day,transit_access_score,jobs_access_score,households_access_score,low_income_access_score,public_amenities_access_score,bike_infra_score,retail_entertainment_access_score,existing_bikeshare_access_score,total_score
72,2024-07-29,south_congress_and_elizabeth,9,1411.0,11,128.27272727272728,0.35631313131313136,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0
73,2024-08-02,south_congress_and_james,9,1130.0,7,161.42857142857142,0.4484126984126984,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0
74,2024-07-24,south_congress_and_mary,9,2120.0,11,192.72727272727272,0.5353535353535354,0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,19.0
75,2024-07-24,veterans_and_atlanta__at_mopac_ped_bridge,9,3542.0,19,186.42105263157896,0.5178362573099415,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,20.0
2,2024-11-14,w_11th_and_congress__at_the_texas_capitol,9,2179.0,11,198.0909090909091,0.5502525252525252,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0
29,2024-07-24,w_16th_and_san_antonio,9,2803.0,11,254.8181818181818,0.7078282828282828,0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,18.0
7,2024-07-24,w_21st_and_guadalupe,9,14534.0,11,1321.2727272727273,3.6702020202020202,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0
9,2024-07-24,w_21st_and_university,9,15836.0,19,833.4736842105264,2.3152046783625733,0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,25.0
10,2024-11-14,w_22.5_and_rio_grande,9,8619.0,5,1723.8,4.788333333333333,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0
11,2024-11-14,w_22nd_and_pearl,9,15374.0,23,809.1578947368421,2.24766081871345,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0
12,2024-07-24,w_23rd_and_san_gabriel,9,18621.0,11,1692.8181818181818,4.702272727272727,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,24.0
14,2024-07-24,w_26th_and_nueces,9,22169.0,13,1705.3076923076924,4.7369658119658125,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,24.0
15,2024-07-24,w_28th_and_rio_grande,9,15705.0,7,2243.5714285714284,6.232142857142857,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0
17,2024-07-24,w_2nd_and_lavaca__at_city_hall,9,4246.0,19,223.47368421052633,0.6207602339181287,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0
18,2024-07-24,w_3rd_and_nueces,9,4573.0,11,415.72727272727275,1.15479797979798,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0
20,2024-11-14,w_3rd_and_west,9,5279.0,11,479.90909090909093,1.333080808080808,0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,22.0
21,2024-07-25,w_4th_and_congress,9,3549.0,15,236.6,0.6572222222222222,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0
24,2024-07-24,w_5th_and_bowie,9,4488.0,15,299.2,0.8311111111111111,0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,22.0
25,2024-07-24,w_5th_and_campbell,9,2567.0,15,171.13333333333333,0.47537037037037033,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0
92,2025-12-21,w_7th_and_congress_(w_6th_and_congress),9,5840.0,17,530.9090909090909,1.4747474747474747,1,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,22.0
28,2024-11-14,w_6th_and_lavaca,9,1389.0,7,198.42857142857142,0.5511904761904761,0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,21.0
30,2024-07-24,w_6th_and_west,9,1503.0,15,100.2,0.2783333333333333,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0
31,2024-11-14,w_8th_and_congress,9,1927.0,11,175.1818181818182,0.4866161616161616,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0
35,2024-07-24,w_9th_and_henderson,9,2367.0,11,215.1818181818182,0.5977272727272728,0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,20.0
76,2024-11-14,zilker_park,8,3166.0,15,211.06666666666666,0.5862962962962963,0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,20.0
