id,Active Date,name,Districts,total Checkouts,total Docks,trips per dock,trips per dock/day,EBS STATION,Checkouts Rankings; per day >5=3; 2-5=2; <1=1 ,Co-locate to Transit (at transit =3; <1/4 mi = 2; >1/4 mi = 1),Access to Jobs (Major employment hubs)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to Households  (1/4 mi = 3; 1/2 mi = 2;  >1/2 = 1),Access to low income residents (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),"Access to Public amenities (libraries, schools, Rec Centers, parks)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1)",Bikeable infrastructure (rider saftey)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to retail or entertainment  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to existing Bikeshare footprint - 1/4 mi = 3; 1/2 mi = 2; >1/2 = 1,Total Score,name_clean,Kiosk ID,Kiosk Name,Kiosk Status,Location,Address,Alternate Name,City Asset Number,Property Type,Number of Docks,Power Type,Footprint Length,Footprint Width,Notes,Council District,Image,Modified Date,lat,lon,on_UT
53.0,2024-07-24,E 6th/Chicon,3.0,1338.0,11,121.63636363636364,0.3378787878787879,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,18.0,6/chicon,,,,,,,,,,,,,,,,,30.259718,-97.723198,0
51.0,2024-07-24,E 6th/Medina,3.0,4299.0,11,390.8181818181818,1.0856060606060607,,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,21.0,6/medina,3660.0,Medina & East 6th,active,"(30.26455, -97.73165)",590 Medina St.,,"16,761",undetermined_parking,11.0,solar,35.0,5.0,,3.0,,2021 Jan 04 12:00:00 AM,30.26455,-97.73165,0
52.0,2024-08-01,E 6th/Pedernales,3.0,2588.0,11,235.27272727272728,0.6535353535353535,,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,20.0,6/pedernales,2544.0,East 6th & Pedernales St.,active,"(30.25895, -97.71475)",2498 E. 6th St.,,"16,738",undetermined_parking,11.0,solar,35.0,5.0,,3.0,,2021 Jan 04 12:00:00 AM,30.25895,-97.71475,0
32.0,2024-07-24,E 8th/Lavaca,9.0,1004.0,7,143.42857142857142,0.3984126984126984,,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,18.0,8/lavaca,4047.0,8th & Lavaca,active,"(30.27059, -97.74441)",750 Lavaca Street,,"32,710",sidewalk,9.0,solar,25.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.27059,-97.74441,0
33.0,2024-07-24,E 8th/Red River,9.0,1495.0,11,135.9090909090909,0.37752525252525254,,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,8/red river,2571.0,Red River & 8th Street,active,"(30.26854, -97.73646)",761 Red River St.,,"16,760",sidewalk,13.0,solar,40.0,5.0,on pad built in ROW/easement,9.0,,2021 Jan 04 12:00:00 AM,30.26854,-97.73646,0
34.0,2024-11-14,E 8th/Trinity,9.0,1047.0,15,69.8,0.1938888888888889,,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,19.0,8/trinity,,,,,,,,,,,,,,,,,30.26895625697814,-97.7386856328997,0
54.0,2024-07-24,Electric Drive @ Pfluger Ped Bridge,9.0,5449.0,19,286.7894736842105,0.7966374269005848,,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0,electric/pfluger ped,,,,,,,,,,,,,,,,,30.267064,-97.75482,0
55.0,2024-07-24,Guadalupe/West Mall @ University Co-op,9.0,12488.0,15,832.5333333333333,2.3125925925925923,,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,guadalupe/university co,,,,,,,,,,,,,,,,,30.285664,-97.741792,1
56.0,2024-08-02,Hollow Creek/Barton Hills,5.0,2190.0,11,199.0909090909091,0.553030303030303,,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,16.0,barton hills/hollow creek,4058.0,Hollow Creek & Barton Hills,active,"(30.26139, -97.77234)",1106 Hollow Creek Dr,,"32,685",nonmetered_parking,13.0,solar,40.0,5.0,,5.0,,2021 Jan 04 12:00:00 AM,30.26139,-97.77234,0
57.0,2024-11-14,Lake Austin Blvd/Deep Eddy,10.0,2937.0,11,267.0,0.7416666666666667,,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0,deep eddy/lake austin,3790.0,Lake Austin Blvd @ Deep Eddy,active,"(30.27807, -97.77272)",2401 Lake Austin Blvd,,"32,673",sidewalk,13.0,solar,40.0,5.0,,10.0,,2021 Jan 04 12:00:00 AM,30.27807,-97.77272,0
