total_docks,trips_per_dock,ebs_station,transit_nearby,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,bike_infra_score,retail_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_dist_3_nearest_m,is_ut,lat,lon
11,390.8181818181818,0,-0.09267207805026602,-0.04036011152335769,-0.5530842280661996,2.0,0.15382375737571893,-0.39593628305513434,4.0,0.8132040727337265,1.2755770209846,-1.2758018642189937,0.34263446117362445,0.5558318194179397,0,30.26455,-97.73165
11,235.27272727272728,0,-0.9823240273328191,-0.40353632404437845,-0.5530842280661996,2.0,-1.1340030485605324,-0.39593628305513434,2.0,-0.536667817452517,0.9035012074050084,-1.2758018642189937,-1.172170525067662,0.780391809716758,0,30.25895,-97.71475
7,143.42857142857142,0,3.02110974443867,1.285526784236068,-0.5530842280661996,1.0,-0.8764376873732822,-0.39593628305513434,2.0,-0.4241784932703301,-0.7480784666038818,1.0206414913751949,2.2902408720552785,-0.8299517123262722,0,30.27059,-97.74441
11,135.9090909090909,0,-0.09267207805026602,0.08265675970165028,0.023398222438218742,1.0,-0.10374160381153133,-0.39593628305513434,2.0,0.9819380590070069,-0.7883267744453185,1.0206414913751949,1.641038735094727,-0.7802494976687421,0,30.26854,-97.73646
15,69.8,0,1.2418058458735637,3.0246950788300713,0.023398222438218742,1.0,-0.8764376873732822,-0.39593628305513434,3.0,1.3194060315535678,-0.6524424922367292,2.168863169172289,1.4246380227745434,-0.6997383487066172,0,30.26895625697814,-97.7386856328997
19,286.7894736842105,0,-0.09267207805026602,-0.4982178485265475,3.7714669702161365,1.0,-0.10374160381153133,0.013271514459078421,3.0,-0.3116891690881431,-0.11216702517252676,0.4465306524766477,0.12623374885344066,-0.5456837396566152,0,30.267064,-97.75482
15,832.5333333333333,0,0.7969798712322871,-0.4864690462185411,0.9207705806667794,2.0,1.6992159244992207,-0.39593628305513434,3.0,0.19451278973169822,-0.8502573473038467,0.4465306524766477,0.5590351734938083,-0.7152670816380543,1,30.285664,-97.741792
11,199.0909090909091,0,-1.4271500019740957,-0.6041298458031344,-0.5530842280661996,1.0,0.4113891185629692,1.2386580726915508,2.0,-0.9303804520901714,0.13894046073217178,-0.12758018642189942,-1.172170525067662,0.06033822408396748,0,30.26139,-97.77234
11,267.0,0,0.35215389659101054,-0.43912828397745657,-0.5530842280661996,1.0,-1.1340030485605324,-0.39593628305513434,3.0,-0.536667817452517,1.2703826744213553,-1.2758018642189937,-1.3885712373878458,2.2908481208408373,0,30.27807,-97.77272
11,351.3636363636364,0,-1.4271500019740957,-0.6037842927940754,-0.5530842280661996,2.0,-1.1340030485605324,-0.3586187997617724,3.0,-0.8741357899990779,2.26459147816825,-1.2758018642189937,-1.6049719497080295,3.2043744312137448,0,30.24478312140979,-97.72319224423872
15,304.8666666666667,0,-0.5374980526915426,-0.6086220349209015,-0.5530842280661996,2.0,0.15382375737571893,0.7776487360537929,3.0,-0.9303804520901714,2.26459147816825,-1.2758018642189937,-1.6049719497080295,3.847072577011439,0,30.24258,-97.71726
11,387.3636363636364,0,-0.5374980526915426,-0.6053392813348409,0.07750175339170784,3.0,-1.1340030485605324,1.2931393836124234,4.0,-0.9303804520901714,2.646351578987773,-1.2758018642189937,-1.6049719497080295,2.6934412926666877,0,30.252,-97.7346
15,68.2,0,1.6866318205148403,-0.5642184732568186,-0.5530842280661996,1.0,-0.8764376873732822,-0.07369926114509506,3.0,-0.536667817452517,-0.7493377529430311,0.4465306524766477,-0.09016696346674312,-0.7159510206188338,0,30.257653,-97.74898
15,352.93333333333334,0,-0.5374980526915426,-0.31110089412109293,2.5084293683019254,2.0,0.15382375737571893,-0.39593628305513434,3.0,1.2631613694624744,-0.07207910566288675,-0.7016910253204465,-0.3065676757869269,-0.11512347486708369,0,30.26217,-97.72743
19,543.5263157894736,0,-1.4271500019740957,-0.4928617768861328,-0.5530842280661996,2.0,-0.10374160381153133,0.5652159172111059,3.0,-0.5929124795436105,1.931401829228307,-1.2758018642189937,-0.9557698127474782,0.9345547246855114,0,30.255906,-97.739949
11,296.3636363636364,0,-0.5374980526915426,-0.5132494044206145,-0.5530842280661996,2.0,0.6689544797502195,-0.17843182998444734,2.0,0.02577880345841778,1.8637199604570824,-1.2758018642189937,-0.3065676757869269,0.766688752853835,0,30.260814,-97.738086
