count,lat,lon
750,30.2054581,-97.824768
362,30.2069478,-97.8333743
1166,30.1981269,-97.8353925
1187,30.2017356,-97.9403204
648,30.226494,-97.9019313
445,30.2253995,-97.8617896
531,30.2208548,-97.8472216
350,30.2208956,-97.8709661
730,30.2156693,-97.8672937
680,30.2141459,-97.859301
926,30.1951463,-97.8545191
946,30.1851088,-97.8596173
919,30.4234245,-97.9415425
575,30.4043358,-97.9121703
859,30.3893149,-97.9458819
825,30.3443093,-97.9542916
789,30.3781737,-97.9274369
712,30.3844383,-97.9306774
899,30.3628168,-97.9310395
439,30.4268865,-97.7386752
631,30.4176999,-97.7356464
617,30.1831802,-97.8330729
552,30.1857705,-97.8344716
845,30.187371,-97.8417464
238,30.1805383,-97.8268555
718,30.1845976,-97.8227741
625,30.176895,-97.8315453
379,30.1767918,-97.825232
842,30.1719206,-97.8465659
758,30.165058,-97.8255046
666,30.1700246,-97.8332755
789,30.2254932,-97.836736
570,30.2342266,-97.8327806
186,30.2301875,-97.8327365
524,30.2303375,-97.8542541
554,30.2295292,-97.8470042
436,30.2317993,-97.842002
1306,30.2248867,-97.8277702
765,30.2247727,-97.8151063
1140,30.2143161,-97.8173585
276,30.3596299,-97.7603667
557,30.3649684,-97.7560623
898,30.3564049,-97.749892
1180,30.3600663,-97.7486336
889,30.354416,-97.7518682
1115,30.3907522,-97.7387405
812,30.4089097,-97.7403605
733,30.4029496,-97.7353132
665,30.413982,-97.7395123
791,30.4189267,-97.7742897
1035,30.4065207,-97.7812512
345,30.4083255,-97.7733225
1000,30.4249217,-97.7730178
905,30.4276417,-97.7657973
1193,30.3978551,-97.7639672
1765,30.3514926,-97.8197064
689,30.357,-97.8523643
943,30.3786719,-97.8366774
1663,30.2358706,-97.8873685
1088,30.2405798,-97.8993997
682,30.2479675,-97.9109273
891,30.3799224,-97.9764523
659,30.359797,-97.9916606
458,30.3694795,-97.9929437
1255,30.1329924,-97.8409995
913,30.1517243,-97.8304739
488,30.1632825,-97.8688188
202,30.167421,-97.8639035
519,30.1844329,-97.9236887
1227,30.1587237,-97.878535
753,30.1800003,-97.9137764
657,30.2125986,-97.8384241
597,30.2101653,-97.8449107
1097,30.2063888,-97.8474343
773,30.1987068,-97.8438377
871,30.2058918,-97.8536799
588,30.3779276,-97.9674046
197,30.350073,-97.970482
929,30.3646827,-97.9622055
466,30.4396997,-97.8023508
608,30.4398295,-97.7906726
492,30.433074,-97.7836756
564,30.4293911,-97.7918643
573,30.427039,-97.8001999
1233,30.3316055,-97.8672604
819,30.3416231,-97.8693712
1044,30.3285305,-97.9002384
459,30.3127986,-97.9255472
1315,30.3296352,-97.9446958
1645,30.4448574,-97.732286
666,30.444446,-97.7483081
885,30.4407482,-97.7442423
764,30.4299706,-97.745048
480,30.4378031,-97.7478964
940,30.4322725,-97.752259
719,30.4357618,-97.7405656
897,30.4334918,-97.8096371
599,30.4433149,-97.8221276
327,30.4308781,-97.8387944
1145,30.4423856,-97.8305597
786,30.4326163,-97.8215891
734,30.4228764,-97.8312572
1515,30.4067403,-97.846335
77,30.4088624,-97.8321068
510,30.2306459,-97.8711823
1173,30.2227777,-97.8814398
676,30.2144209,-97.8881991
485,30.2051118,-97.8668929
574,30.2014715,-97.8760185
863,30.208338,-97.8815864
1130,30.3806574,-97.8900018
433,30.385266,-97.902387
1172,30.3680274,-97.9045987
635,30.3787595,-97.8648254
1410,30.3858404,-97.87715
1144,30.3619897,-97.8855373
1522,30.3435698,-97.9118001
1014,30.4047583,-98.0450453
519,30.3937791,-98.0291147
259,30.4407845,-98.0410438
185,30.3799323,-98.0610857
781,30.4355526,-98.0959102
1090,30.3410845,-98.0088849
239,30.3518902,-98.0442017
741,30.359849,-98.0159949
640,30.4857727,-97.8582899
616,30.4749754,-97.8517555
640,30.4323731,-97.9057812
472,30.4624119,-97.8909559
572,30.4576894,-97.8565544
277,30.4647918,-97.842094
651,30.460862,-97.8495384
1490,30.4350894,-97.8519371
421,30.3987547,-97.8798341
165,30.556172,-97.9308508
893,30.6074583,-97.9937039
105,30.5602107,-97.9004819
202,30.5427758,-97.9046853
467,30.5463922,-97.8940714
1957,30.5286086,-97.8795544
1211,30.5290223,-97.9117943
588,30.5486587,-97.9935289
639,30.4902724,-97.9575857
522,30.489161,-98.0562705
2369,30.3147491,-98.0442382
