job_count,lat,lon
1,30.309821,-97.7118332
60,30.3033935,-97.7144922
199,30.3085938,-97.7122794
240,30.3063043,-97.7152591
82,30.3061172,-97.7137482
2,30.3042977,-97.7162065
30,30.3102764,-97.7148149
23,30.3063031,-97.7169189
1,30.3067453,-97.7178066
16,30.3085881,-97.7166964
53,30.3094266,-97.7151032
91,30.3076447,-97.7148146
2,30.3083518,-97.7145905
65,30.3088546,-97.7139224
139,30.3138291,-97.7152853
8,30.3150529,-97.716538
1,30.3152362,-97.7175377
136,30.315646,-97.7184304
1,30.3147095,-97.7190974
2,30.31414,-97.719188
29,30.3134654,-97.7198238
36,30.3130383,-97.7189379
5,30.3144858,-97.7167073
33,30.313257,-97.7164633
5,30.3117865,-97.7191889
1,30.3102727,-97.7197812
1,30.3100665,-97.7204214
3,30.3100951,-97.7220272
2,30.3093856,-97.7175686
64,30.3073661,-97.72283
4,30.3061218,-97.7212935
16,30.3169483,-97.7210904
12,30.3158732,-97.7217902
3,30.3154343,-97.720903
4,30.3165189,-97.720202
1,30.316089,-97.7193209
16,30.3149883,-97.7200173
3,30.3139097,-97.720722
6,30.3143548,-97.7216096
3,30.3132361,-97.7223395
4,30.3116828,-97.7221696
3,30.3109724,-97.7238167
4,30.3113676,-97.7246146
73,30.3085366,-97.7242044
4,30.3094973,-97.7271742
2,30.3084983,-97.7253938
6,30.31394,-97.7249282
119,30.3121779,-97.7291513
2495,30.3160415,-97.730877
145,30.3116154,-97.7318843
10,30.3111789,-97.730976
3,30.3107543,-97.730049
8,30.3101912,-97.7276801
13,30.3218886,-97.7273236
13,30.3209759,-97.7278835
12,30.3201392,-97.7293782
1,30.3190771,-97.726177
2,30.3198269,-97.7254665
54,30.3185905,-97.7224799
54,30.3172818,-97.72383
1,30.3174625,-97.725295
42,30.3186147,-97.7293868
33,30.3029364,-97.7135997
13,30.3015638,-97.7094281
9,30.3003515,-97.7112553
1,30.3010046,-97.7103839
2,30.3013911,-97.7143052
2,30.3017622,-97.7126084
21,30.3024543,-97.71192
508,30.3007193,-97.7148781
29,30.298588,-97.7162826
229,30.2951628,-97.7173579
3,30.296162,-97.7160273
2,30.2968687,-97.7151846
9,30.2955,-97.7138591
1,30.2975519,-97.7141285
2,30.2977535,-97.7123761
130,30.2988121,-97.7110664
3,30.2928174,-97.7084038
5,30.2933014,-97.7094836
20,30.2941269,-97.7111667
1,30.2948524,-97.7121921
5,30.2944562,-97.7145669
3,30.2918156,-97.7107791
5,30.2923742,-97.7126481
9,30.2902393,-97.7086272
4,30.2983955,-97.7154891
28,30.2993105,-97.6875125
46,30.2973073,-97.6880764
71,30.3003169,-97.69045
31,30.2998254,-97.69426
1006,30.3012534,-97.697751
