id,name,district,total_docks,trips_per_dock,ebs_station,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby,housing_nearby,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,is_ut,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing,lat,lon
87,dean_keeton_robert_dedman_dr,1,11,316.0,0,5,26.49,109.77,249.0,2658,0.09367945823927765,1.0,3,249.44,0,3408636.89,3.0,5,153.17,2,257.23,0,741.55,534.71,0.0,3.0,706.38,1,1112.79,271.15,190.0,190.0,190.0,1112.79,5,2658,30.28785,-97.728541
35,w_9th_henderson,9,11,310.45454545454544,0,4,120.14,144.82,5865.0,5954,0.985052065838092,1.0,2,235.16,0,3406487.25,2.0,20,100.73,6,169.34,0,593.05,317.85,2.0,7.0,409.83,0,2231.98,1910.19,980.0,0.0,0.0,0.0,0,0,30.27217,-97.75246
23,e_5th_neches_downtown_station,9,15,294.6,0,3,101.12,155.93,2886.0,3822,0.7551020408163265,1.0,5,74.6,0,3406050.86,3.0,64,48.97,51,101.06,3,69.95,401.97,2.0,16.0,459.49,0,2224.02,2082.18,130.0,0.0,0.0,0.0,0,0,30.265843991099903,-97.73891781267967
68,s_1st_riverside_long_center,9,15,289.6666666666667,0,7,10.46,44.65,1078.0,1986,0.5427995971802618,1.0,3,173.99,0,3405147.51,3.0,6,173.25,3,190.28,0,617.55,238.04,3.0,9.0,365.4,0,3366.36,3243.66,980.0,0.0,0.0,0.0,0,0,30.259384,-97.749726
42,dean_keeton_park_place,9,15,288.8666666666667,0,6,166.31,174.2,23359.0,1829,12.771459814106068,2.0,5,164.94,0,3408711.97,3.0,0,330.29,0,346.0,0,668.51,436.52,2.0,5.0,484.09,1,766.52,283.71,190.0,190.0,190.0,766.52,6,1829,30.28931,-97.733037
2,w_11th_congress_the_texas_capitol,9,11,283.09090909090907,0,0,288.76,314.43,3006.0,2384,1.2609060402684564,1.0,2,270.96,0,3406741.79,3.0,8,97.95,3,154.33,1,403.38,315.93,4.0,13.0,351.5,0,1429.56,1323.07,130.0,0.0,0.0,0.0,0,0,30.2726,-97.74127
75,veterans_atlanta_mopac_ped_bridge,9,19,280.7894736842105,0,0,289.25,375.86,0.0,629,0.0,1.0,12,76.25,0,3406415.14,3.0,0,488.78,0,515.58,0,954.75,560.22,0.0,2.0,749.02,0,3842.19,3378.34,980.0,0.0,0.0,0.0,0,0,30.274475,-97.769892
56,hollow_creek_barton_hills,5,11,277.0,0,0,750.79,799.97,26.0,2827,0.00919702865228157,1.0,7,101.0,0,3404946.68,2.0,0,336.74,0,840.63,0,690.69,379.74,2.0,3.0,514.35,0,4837.03,4470.41,980.0,0.0,0.0,0.0,0,0,30.26139,-97.77234
74,south_congress_mary,9,11,271.72727272727275,0,2,10.51,233.5,953.0,2775,0.3434234234234234,1.0,7,132.96,0,3403550.32,3.0,18,64.22,6,137.51,0,1373.4,522.94,0.0,3.0,774.99,0,5160.23,5043.15,130.0,0.0,0.0,0.0,0,0,30.244961,-97.751272
76,zilker_park,8,15,262.6,0,2,36.19,202.84,51.0,2148,0.023743016759776536,1.0,0,356.81,0,3405513.4,3.0,1,345.93,0,591.22,1,348.88,376.41,1.0,4.0,547.16,0,4132.72,3749.72,980.0,0.0,0.0,0.0,0,0,30.2659,-97.76822
28,w_6th_lavaca,9,7,259.42857142857144,0,10,38.08,77.06,12229.0,4559,2.6823864882649704,1.0,7,190.87,0,3406264.22,2.0,33,50.17,29,50.17,1,341.01,238.24,4.0,18.0,294.82,0,2046.93,1931.57,980.0,0.0,0.0,0.0,0,0,30.268887,-97.745242
31,w_8th_congress,9,11,254.9090909090909,0,4,14.73,153.97,25867.0,4559,5.673831980697521,1.0,4,129.12,0,3406426.34,3.0,41,17.64,25,20.13,1,329.53,231.56,7.0,17.0,299.99,0,1791.98,1678.73,130.0,0.0,0.0,0.0,0,0,30.2698,-97.74186
38,barton_springs_kinney,9,11,252.1818181818182,0,3,64.08,139.82,819.0,2427,0.3374536464771323,1.0,8,126.77,0,3405219.56,3.0,15,55.46,13,55.46,0,896.07,595.67,0.0,5.0,792.02,0,3831.89,3539.54,980.0,0.0,0.0,0.0,0,0,30.262,-97.76118
25,w_5th_campbell,9,15,251.7333333333333,0,4,17.54,135.72,1707.0,1647,1.0364298724954462,1.0,16,107.87,0,3406553.9,3.0,14,51.87,5,53.71,0,924.61,566.03,0.0,2.0,917.98,0,3288.86,2834.54,980.0,0.0,0.0,0.0,0,0,30.27489,-97.76483
49,e_5th_broadway,3,15,239.53333333333333,0,2,151.73,252.06,691.0,3242,0.21314003701418877,2.0,3,184.69,0,3405551.27,3.0,4,133.18,0,466.5,0,536.65,622.94,0.0,2.0,963.5,0,4550.98,4185.79,900.0,0.0,0.0,0.0,0,0,30.2563,-97.71007
45,e_11th_san_marcos,1,11,239.1818181818182,0,3,60.4,84.76,511.0,2224,0.2297661870503597,2.0,8,124.59,0,3406620.2,2.0,7,101.74,2,219.86,3,193.68,271.3,1.0,9.0,496.82,0,1845.75,1579.55,900.0,0.0,0.0,0.0,0,0,30.26968,-97.73074
