name,lat,lon,type
3403_12th_and_greenwood,30.277301,-97.697085,bus
3525_12th_and_e_m_franklin,30.277722,-97.694402,bus
1201_webberville_and_12th,30.278282,-97.684544,bus
1419_webberville_and_fort_branch,30.279744,-97.680966,bus
4021_tannehill_and_samuel_huston,30.279192,-97.673977,bus
1194_rundberg_and_teasdale,30.353997,-97.68111,bus
838_rundberg_and_middle_fiskville,30.357437,-97.686345,bus
georgian_and_home_pl.,30.355832,-97.696474,bus
georgian_and_elliott,30.353289,-97.699042,bus
georgian_and_jennifer,30.349752,-97.702016,bus
georgian_and_powell,30.347697,-97.703234,bus
8000_georgian_and_anderson,30.344902,-97.704659,bus
7700_northcrest_and_anderson,30.34336,-97.705878,bus
crestland_and_meadowview,30.339681,-97.711761,bus
7414_guadalupe_and_crestland,30.339901,-97.713146,bus
7106_guadalupe_and_st_johns,30.337324,-97.714833,bus
guadalupe_and_swanee,30.335705,-97.715903,bus
105_highland_mall_and_jonathan,30.328491,-97.713603,bus
5600_avenue_f_and_56th,30.321167,-97.718996,bus
duval_and_51st,30.314362,-97.719922,bus
duval_and_48th,30.310968,-97.722129,bus
duval_and_43rd,30.30438,-97.726357,bus
4002_duval_and_41st,30.301674,-97.728038,bus
duval_and_33rd,30.295649,-97.731832,bus
3200_duval_and_32nd,30.294603,-97.732495,bus
duval_and_30th,30.291876,-97.734222,bus
san_jacinto_and_dean_keeton_nw_corner,30.289599,-97.734686,bus
2324_san_jacinto_and_24th,30.28671,-97.733652,bus
ut_stadium_sb_(san_jacinto_and_23rd),30.285506,-97.733782,bus
2098_san_jacinto_and_21st,30.283014,-97.7341,bus
715_riverside_and_alameda,30.250734,-97.74061,bus
1005_east_riverside_and_travis_heights,30.249589,-97.738348,bus
riverside_and_kenwood,30.248592,-97.736886,bus
1724_burton_and_woodland,30.236152,-97.728459,bus
1920_burton_and_mariposa,30.233861,-97.731812,bus
2310_parker_and_oltorf,30.231874,-97.737285,bus
2504_parker_and_braxton,30.229929,-97.738557,bus
2718_parker_and_royal_hill,30.227504,-97.740505,bus
woodward_and_ben_white_nw_corner,30.217147,-97.744042,bus
freidrich_and_directors,30.212493,-97.748209,bus
4600_freidrich_and_st_elmo,30.208183,-97.750908,bus
2035_teri_and_merritt,30.201932,-97.75218,bus
