name,docks,bikeable_infrastructure,trips,lat,lon,trips_per_dock,nearest_dining_hall_m,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m
lakeshore_pleasant_valley,15,3.0,6726,30.242667,-97.717651,448.4,4848.164468895796,188.37478572851956,8.836873829532836,6,202.36291092222197,97974.57595677437,258087.5497797048
nash_hernandez_east_at_rbj_south,11,4.0,6263,30.252056,-97.734532,569.3636363636364,3448.0813472263194,105.85670255129104,7.990222806419371,1,226.1373300215647,76543.35975977912,205509.69881690628
one_texas_center,15,3.0,1703,30.257653,-97.74898,113.53333333333332,3051.129758454727,211.34084034484187,159.06311238248108,3,235.39805767854173,14549.49105556255,131245.1278641172
plaza_saltillo,15,3.0,7542,30.262116,-97.72741,502.8,2492.0044417724293,51.14922519675374,150.56527519323478,7,91.21403739310404,3929.4668092389106,8771.50097090922
rainey_cummings,19,3.0,15205,30.255942,-97.739899,800.2631578947369,3023.495517580596,34.433029771095214,0.0,6,68.6577267981184,43957.798304919364,126397.23324458477
rainey_driskill,11,2.0,4889,30.26081,-97.738075,444.45454545454544,2470.6363078241266,87.22897822912753,170.40941526024525,9,96.89130644022632,26023.780711211177,100280.25988833194
riverside_south_lamar,19,3.0,11065,30.264351,-97.756216,582.3684210526316,2787.710050586673,82.75371455757899,8.719947695397217,12,94.47036630259785,95505.01714953102,378764.6600160129
rosewood_angelina,11,2.0,1153,30.269014,-97.724294,104.8181818181818,1966.1590097983174,31.48668689125061,8.23650874854116,14,84.6792139948255,44067.48033963734,63176.63392816914
s_1st_riverside_at_long_center,15,3.0,4345,30.259384,-97.749726,289.6666666666667,2904.1020802026874,139.40667540669654,4.240899002848918,3,150.1149266971815,77934.09533232806,224934.81957022616
south_congress_at_bouldin_creek,15,3.0,3312,30.255021,-97.747579,220.8,3278.5323260257574,173.1815093240519,376.0014408305018,2,232.31400549026827,0.0,17981.703767680545
south_congress_academy,11,3.0,2087,30.252232,-97.748805,189.72727272727272,3609.990590805834,49.87377354009395,194.34966592731033,6,78.08034894085084,3434.7712589136777,8099.720278645673
south_congress_barton_springs,11,3.0,4002,30.258694,-97.74622,363.8181818181818,2849.7938470800855,200.67325260765665,340.5980754965019,2,228.75439965822375,0.0,136152.25393230337
south_congress_elizabeth,11,3.0,1965,30.248923,-97.750206,178.63636363636363,4001.650760180748,269.26237095972374,349.6401287931837,1,313.0379545686636,0.0,6150.405194495338
south_congress_james,7,3.0,1556,30.251048,-97.749253,222.28571428571428,3748.494490436749,95.10479905407898,234.24168810396716,5,101.10415525889617,4886.057764408555,9944.157557424593
south_congress_mary,11,3.0,2989,30.244929,-97.751334,271.72727272727275,4457.211135075907,86.95081609992621,390.85130710991507,9,112.82631492744598,0.0,276.98635599764185
veterans_atlanta_at_mopac_ped_bridge,19,3.0,5335,30.274475,-97.769892,280.7894736842105,3314.3392612786715,53.386550771527155,0.8110722084353978,12,65.77916181767304,68181.76249090303,307071.9965664722
w_11th_congress_at_the_texas_capitol,11,3.0,3114,30.272551,-97.741225,283.09090909090907,1236.8019357726619,225.21404245419524,48.73643295676541,5,232.20856697504183,1262.3164002773492,30199.920688027458
