id,active_date,name,district,total_checkouts,total_docks,trips_per_dock,ebs_station,transit_nearby,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,bike_infra_score,retail_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_dist_3_nearest_m,is_ut,lat,lon
74,2024-07-24,south_congress_mary,9,2120,11,192.72727272727272,0,2,953,0,1.0,7,0,3.0,18,522.9383826471034,0,3,774.9939793879959,0,30.244961,-97.751272
75,2024-07-24,veterans_atlanta_mopac_ped_bridge,9,3542,19,186.42105263157896,0,0,0,0,1.0,12,44537,3.0,0,560.2187833761261,0,2,749.0238235321403,0,30.274475,-97.769892
2,2024-11-14,w_11th_congress_the_texas_capitol,9,2179,11,198.0909090909091,0,0,3006,0,1.0,2,0,3.0,8,315.934534461486,4,13,351.5017273851888,0,30.2726,-97.74127
29,2024-07-24,w_16th_san_antonio,9,2803,11,254.8181818181818,0,4,4249,0,1.0,5,0,2.0,6,636.9673546761669,0,8,734.9900747112084,0,30.27924,-97.74371
7,2024-07-24,w_21st_guadalupe,9,14534,11,1321.2727272727273,0,5,1643,654,2.0,15,0,3.0,22,221.94446715557746,3,11,319.13397253490274,1,30.28395,-97.74198
9,2024-07-24,w_21st_university,9,15836,19,833.4736842105264,0,3,510,0,2.0,5,0,3.0,8,236.4573438954131,3,10,295.41824749993515,1,30.28354,-97.73953
10,2024-11-14,w_22_5_rio_grande,9,8619,5,1723.8,0,1,779,1298,2.0,19,0,3.0,9,207.00258326231105,4,10,306.7845109408341,1,30.2862,-97.74516
11,2024-11-14,w_22nd_pearl,9,15374,23,809.1578947368421,0,2,755,864,2.0,9,0,3.0,5,207.00258326231105,2,8,350.8318849177437,1,30.2853,-97.7467
12,2024-07-24,w_23rd_san_gabriel,9,18621,11,1692.8181818181818,0,1,622,508,2.0,11,0,3.0,4,297.1256379087687,2,7,439.21682904321807,1,30.2874,-97.7478
14,2024-07-24,w_26th_nueces,9,22169,13,1705.3076923076924,0,5,489,1053,2.0,10,0,3.0,13,301.565429970349,2,9,432.49135222831,1,30.29068,-97.74292
15,2024-07-24,w_28th_rio_grande,9,15705,7,2243.5714285714284,0,2,651,811,2.0,5,10157,3.0,9,366.8298097937742,1,5,616.238188022675,1,30.29333,-97.74412
17,2024-07-24,w_2nd_lavaca_city_hall,9,4246,19,223.47368421052636,0,5,8077,565,1.0,10,0,3.0,65,265.0626791220151,4,17,342.10048360700074,0,30.26476,-97.74678
18,2024-07-24,w_3rd_nueces,9,4573,11,415.7272727272728,0,4,4952,1500,1.0,11,15644,3.0,43,308.56837695120703,3,15,389.8976394035914,0,30.26697,-97.74929
20,2024-11-14,w_3rd_west,9,5279,11,479.9090909090909,0,3,2798,0,1.0,10,21392,3.0,27,281.36504414212527,4,11,309.8715044210384,0,30.2678,-97.75189
21,2024-07-25,w_4th_congress,9,3549,15,236.6,0,2,17250,687,1.0,8,0,3.0,80,263.50111186740475,6,16,307.4392344342934,0,30.26634,-97.74378
24,2024-07-24,w_5th_bowie,9,4488,15,299.2,0,4,7211,2318,1.0,6,8251,3.0,23,281.36504414212527,4,8,320.4113242330526,0,30.2696,-97.75332
25,2024-07-24,w_5th_campbell,9,2567,15,171.13333333333333,0,4,1707,0,1.0,16,0,3.0,14,566.032619104577,0,2,917.9796165395459,0,30.27489,-97.76483
92,2025-12-21,w_7th_congress_w_6th_congress,9,5840,17,530.9090909090909,1,4,23222,0,1.0,3,0,3.0,68,231.5559494112329,5,16,258.2891807016064,0,30.26822,-97.74285
28,2024-11-14,w_6th_lavaca,9,1389,7,198.42857142857144,0,10,12229,0,1.0,7,0,2.0,33,238.24355169932875,4,18,294.8213500463698,0,30.268887,-97.745242
30,2024-07-24,w_6th_west,9,1503,15,100.2,0,4,4588,0,1.0,6,14266,2.0,31,317.8537102407249,4,11,341.69276753841564,0,30.27041,-97.75046
31,2024-11-14,w_8th_congress,9,1927,11,175.1818181818182,0,4,25867,0,1.0,4,0,3.0,41,231.5559494112329,7,17,299.98762408684337,0,30.2698,-97.74186
35,2024-07-24,w_9th_henderson,9,2367,11,215.1818181818182,0,4,5865,0,1.0,2,11611,2.0,20,317.8537102407249,2,7,409.83057396733574,0,30.27217,-97.75246
76,2024-11-14,zilker_park,8,3166,15,211.06666666666663,0,2,51,0,1.0,0,237174,3.0,1,376.4060984434152,1,4,547.1647434803294,0,30.2659,-97.76822
